Pointer[#version],Original,Translated
0x74108,<&BUF01> は<4E>あたまに <&BUF04>ダメージ!<S3c><*4>,<&BUF01>'s head took <&BUF04> damage!<S3c><*4>
0x7410a,<&BUF01> は<4E>みぎうでに <&BUF04>ダメージ!<S3c><*4>,<&BUF01>'s right arm took <&BUF04> damage!<S3c><*4>
0x7410c,<&BUF01> は<4E>ひだリうでに <&BUF04>ダメージ!<S3c><*4>,<&BUF01>'s left arm took <&BUF04> damage!<S3c><*4>
0x7410e,<&BUF01> は<4E>きゃくぶに <&BUF04>ダメージ!<S3c><*4>,<&BUF01>'s legs took <&BUF04> damage!<S3c><*4>
0x74110,<&BUF01> の<4E>あたまは こわれた<*4>,<&BUF01>'s head was destroyed.<*4>
0x74112,<&BUF01> の<4E>みぎうでは こわれた<*4>,<&BUF01>'s right arm was destroyed.<*4>
0x74114,<&BUF01> の<4E>ひだリうでは こわれた<*4>,<&BUF01>'s left arm was destroyed.<*4>
0x74116,<&BUF01> の<4E>きゃくぶは こわれた<*4>,<&BUF01>'s legs were destroyed.<*4>
0x74118,べつのパーツに かんつうした!!<S3c><*4>,The attack damaged other parts!<S3c><*4>
0x7411a,<&BUF01> は<4E>こうげきを かわした!<S3c><*4>,<&BUF01> dodged the attack!<S3c><*4>
0x7411c,<&BUF01> の<4E>うつ こうげき! <&BUF04>!<*4>,<&BUF01>'s Shoot attack! <&BUF04>!<*4>
0x7411e,<&BUF01> の<4E>ねらいうち こうげき! <&BUF04>!<*4>,<&BUF01>'s Snipe attack! <&BUF04>!<*4>
0x74120,<&BUF01> は<4E>みかたを おうえんした<*4>,<&BUF01> used a support action!<*4>
0x74122,<&BUF01> は<4E>スピードアップした!!<*4>,<&BUF01>'s speed was boosted!<*4>
0x74124,<&BUF01> に<4E>おうえんの こうかが なかった<*4>,It had no effect on <&BUF01>.<*4>
0x74126,ほうねつに せいこうした<4C><*1>,Cooldown succeeded.<4C><*1>
0x74128,ほうねつに しっぱいした<4C><*1>,Cooldown failed.<4C><*1>
0x7412a,<&BUF01> は<4E>チームぜんたいを まもリます!<S3c><*4>,<&BUF01> is guarding its team!<S3c><*4>
0x7412c,てきのリーダーを たおした<4C><*1>,Defeated the enemy leader!<4C><*1>
0x7412e,みかたのリーダーが たおれた<4C><*1>,Your leader has been defeated!<4C><*1>
0x74130,えんごきたいが まもリにはいった!<S1e><*4>,The guard Medarot took the hit!<S1e><*4>
0x74132,トラップをしかけた!<4E>しかし すでにせっちされていた!<S3c><*4>,A trap has already been set!<S3c><*4>
0x74134,<&BUF01> の<4E>ほんたいの きのうがていしした!!<*4>,<&BUF01> shut down!<*4>
0x74136,<&BUF01> は<4E>ぼうぎょに せいこうした!!<S3c><*4>,<&BUF01>'s defense was successful!<S3c><*4>
0x74138,<&BUF01> の<4E>こうどうパーツは こわれていた<S3c><*4>,The part <&BUF01> used is broken!<S3c><*4>
0x7413a,あいてはすでに<4E>きのうていし していた!!<S3c><*4>,The target has already shut down!<S3c><*4>
0x7413c,ねらったパーツは<4E>すでに こわれていた!!<S3c><*4>,The targeted part is already broken!<S3c><*4>
0x7413e,トラップをしかけた!<4E>しかし すでにせっちされていた!<S3c><*4>,A trap has already been set!<S3c><*4>
0x74140,<&BUF01> の<4E>せっちに しっぱいした<S3c><*4>,<&BUF01>'s trap failed to set!<S3c><*4>
0x74142,<&BUF01> の<4E>せっちに せいこうした<S3c><*4>,<&BUF01>'s trap was set!<S3c><*4>
0x74144,トラップを かいひした<S3c><*4>,Avoided the trap!<S3c><*4>
0x74146,トラップに ひっかかった<S3c><*4>,Got caught in the trap!<S3c><*4>
0x74148,トラップが かいじょされた<S3c><*4>,The trap was cleared!<S3c><*4>
0x7414a,<&BUF01> は<4E>かいじょするものが なかった<S3c><*4>,There's nothing to clear!<S3c><*4>
0x7414c,<&BUF01> は<4E>かいじょに しっぱいした<S3c><*4>,<&BUF01>'s clear failed!<S3c><*4>
0x7414e,<&BUF01> は<4E>トラップを かいじょした!<S3c><*4>,<&BUF01> cleared the trap!<S3c><*4>
0x74150,<&BUF01> は<4E>バリアを かいじょした!<S3c><*4>,<&BUF01> cleared the barrier!<S3c><*4>
0x74152,<&BUF01> は<4E>かいじょするものが なかった<S3c><*4>,There's nothing to clear!<S3c><*4>
0x74154,<&BUF01> は<4E>かいじょに しっぱいした<S3c><*4>,<&BUF01>'s clear failed!<S3c><*4>
0x74156,<&BUF01> は<4E>しょうじょうを かいじょした!<S3c><*4>,<&BUF01> cleared the status!<S3c><*4>
0x74158,<&BUF01> は<4E>かいふくに せいこうした!!<*4>,<&BUF01>'s repair was successful!<*4>
0x7415c,<&BUF01> は<4E>かいふくの こうかがなかった!!<*4>,<&BUF01>'s repair had no effect!<*4>
0x7415e,<&BUF01> の<4E>あたまは かいふくした<S3c><*4>,<&BUF01>'s head was repaired!<S3c><*4>
0x74160,<&BUF01> の<4E>みぎうでは かいふくした<S3c><*4>,<&BUF01>'s right arm was repaired!<S3c><*4>
0x74162,<&BUF01> の<4E>ひだリうでは かいふくした<S3c><*4>,<&BUF01>'s left arm was repaired!<S3c><*4>
0x74164,<&BUF01> の<4E>きゃくぶは かいふくした<S3c><*4>,<&BUF01>'s legs were repaired!<S3c><*4>
0x74166,<&BUF01> は<4E>さくてきを おこなった<S3c><*4>,<&BUF01> scanned the area!<S3c><*4>
0x74168,チームぜんいんの<4E>せいこうリつが あがった!<S3c><*4>,The team's success rate increased!<S3c><*4>
0x7416a,<&BUF01> は<4E>いんぺいを おこなった<S3c><*4>,<&BUF01> concealed itself!<S3c><*4>
0x7416c,しかし いんぺいに しっぱいした!<S3c><*4>,But it remained visible!<S3c><*4>
0x7416e,かいひリつが あがった!<S3c><*4>,Evasion increased!<S3c><*4>
0x74170,<&BUF04>を つかった!<S3c><*4>,Used <&BUF04>!<S3c><*4>
0x74172,こうかが なかった!!<S3c><*4>,There was no effect!<S3c><*4>
0x74174,<&BUF02>は <4E><&BUF04>に ヘんかした!!<S3c><*4>,<&BUF02> transformed into <&BUF04>!<S3c><*4>
0x74176,あまリこうかが なかった!!<S3c><*4>,It had little effect!<S3c><*4>
0x74178,<&BUF01> には きかなかった<S3c><*4>,It had no effect on <&BUF01>.<S3c><*4>
0x7417a,セーブしますか?<*4>,Do you want to save?<*4>
0x7417c,メダロットが<4E>1たいも くまれていません!<4C>メダロットを くんでください!,You have no battle-ready Medarots!<4C>Please assemble a Medarot!
0x7417e,もー<*2>,
0x74182,てかげん しないじゃんじゃん<*2>,"I won't go easy on you, dude.<*2>"
0x74184,ロボトルするって カンジーッ<*2>,"Like, let's Robottle, y'know?<*2>"
0x74186,きみの せんリゃくは みきった!<*2>,I've seen through your strategy!<*2>
0x74188,ねえちゃん かかって きなっ<*2>,"Bring it on, youngster!<*2>"
0x7418a,あたしも コレ いっぺん<4E>やってみたかったのよねー<*2>,
0x7418c,メダロット もってるな<4E>よし やろうぜ<*2>,"You have a Medarot, right?<49>Let's battle!<*2>"
0x7418e,ふふふっ そのパーツ いただくわっ<*2>,"Hmhmhm, I'll be taking those parts!<*2>"
0x74190,あたちと ろぼとる しない?<*2>,Wanna wobottle wit me?<*2>
0x74192,ロボトルするべ!<*2>,"Ey, let's Robottle!<*2>"
0x74194,とあみで つかまえてやるだ<*2>,You'll be caught in my net!<*2>
0x74196,するっぺよ なっ?<*2>,"You'll Robottle me, won't ya?<*2>"
0x74198,するもぐ するもぐ<*2>,"Dig dig dig, let's go!<*2>"
0x7419a,メダロットは じんせいの<4E>パートナーじゃ!<*2>,
0x7419c,こんなあそび<4E>なにが おもしろいのかしら?<*2>,
0x7419e,お・・おじょうちゃん・・<4E>か・・かわいいね♥<*2>,
0x741a0,こうみえても むかしは なのしれた<4E>メダロッターだったのだよ<*2>,
0x741a2,せっしゃが あいてを するで ござる<*2>,I shall be your opponent!<*2>
0x741a4,ふっ わからないひとだなぁ ベイビー<*2>,
0x741a6,みずはなくても カレイに<4E>およいで みせるわ!<*2>,
0x741a8,かてると おもうんならかかってきな!<*2>,Come at me if you think you can win!<*2>
0x741aa,ひとと あらそうのって<4E>あんまリすきじゃないわ<*2>,I never really liked fighting.<*2>
0x741ac,わたし コンタクトレンズが ないと<4E>まえがみえないの・・<*2>,
0x741ae,ワシの しきぼうさばきをみせてやるぞ<*2>,I will pass judgement on you with my<49>conductor's stick.<*2>
0x741b0,さあっ ゆうひにむかって<4E>はしるんだっ!<*2>,"Now, let us run to the sunset!<*2>"
0x741b2,どっちが つよいか じっけんだ!<*2>,Who's stronger? It's an experiment!<*2>
0x741b4,わしが わかいころはだな しつけが<4E>きびしくて・・・<*2>,"Ever since I was a child,<49>I've been doing intense training..<*2>"
0x741b6,オマエは メダロットのことを<4E>どれほど しっているのかノカ?<*2>,
0x741b8,あくの かぎリを つくすロボ<*2>,"Our evil knows no bounds, Robo!<*2>"
0x741ba,ボクちゃんと たたかうでチュ<*2>,Let's battle!<*2>
0x741bc,ワシは みすみす やられは せんぞ<*2>,I won't be defeated so easily!<*2>
0x741be,われわれの じゃまをするものは<4E>いかして かえさないわ<*2>,Those who get in our way will be dealt with.<*2>
0x741c0,ふんっ せかいは ロボロボだんの<4E>ために あるのだっ<*2>,The RoboRobo Gang will rule the world.<*2>
0x741c2,こてんぱんに してやるぜ!<*2>,I'll beat you to a pulp!<*2>
0x741c4,・・・・・・<*2>,......<*2>
0x741c6,あんたって まったく めざわリだわ<*2>,You're a real pain in the neck!<*2>
0x741c8,てかげん なしだからね!<*2>,
0x741ca,まけるもんかっ!!<*2>,
0x741cc,わたくしの あいてが<4E>つとまリますかな?<*2>,Do you think you're good enough<49>to fight me?<*2>
0x741ce,きみぃ ロボトルで わたしに<4E>かてるつもリかい?<*2>,Do you truly expect to win against me~?<*2>
0x741d0,オマエ タオス オレ ユウシャ<*2>,I defeat you. I become champion.<*2>
0x741d2,きさまヲ じくうノ はざまニ<4E>とばしてクレルワ<*2>,I'll send you flying into the space-time continuum!<*2>
0x741d4,かくごは よくて?<*2>,
0x741d6,ワォーン!<*2>,
0x741d8,よろしく おねがいいたします<*2>,Pleased to meet you.<*2>
0x741da,お・・おじょうちゃん・・<4E>か・・かわいいね♥<*2>,
0x741dc,おあいてしてあげても いいわよォ<*2>,
0x741de,わたしの じだいが くるのよ!<*2>,
0x741e0,せいぎの ためで あリますっ!<*2>,"For justice, sir!<*2>"
0x741e2,ボクちゃんは つよいでチュよ<*2>,"I'm stwong, ya know!<*2>"
0x741e4,ワシと はリあうのは 53ねん<4E>はやいわっ<*2>,You're 53 years too early to face me!<*2>
0x741e6,なかなか いせいが いいじゃない<*2>,You seem a little strong.<*2>
0x741e8,ふむ かかってきたまえ<*2>,Hrm...come at me.<*2>
0x741ea,オレが かったら ヒヨコかってくれよ<*2>,"If I win, you'll buy a chick, right?<*2>"
0x741ec,ワタシノ メダルハ<4E>トクベツセイ ナノデス<*2>,
0x741ee,ハカイ・・・スル<*2>,DES... TROY...<*2>
0x741f0,わしと ボロトルせんか?<*2>,Will you Borottle with me?<*2>
0x741f2,ウッ ウァオーン<4E>メダルが つきにみえるぜ<*2>,A-AwooOOooo! Medals... look like... the moon!<*2>
0x741f4,さあ! しょうぶだ!!<S78><*4>,Now! Let's battle!!<S78><*4>
0x741f6,モー<*2>,
0x74202,これくらいで かんべんして<4E>やるじゃんじゃん<*2>,"I'll let you off easy this time, dude!<*2>"
0x74204,なんか ゆるせないって カンジーッ<*2>,"I, like, won't forgive you for this!<*2>"
0x74206,みきっても かてないことも ある!<*2>,Sometimes knowing the strategy isn't enough!<*2>
0x74208,てやんでぃっ もってけ どろぼうっ<*2>,"Go on and take it, you thief!<*2>"
0x7420a,やっぱリ あたしって むいてない!?<*2>,
0x7420c,チェッ シロウトだと<4E>おもったんだけどな<*2>,"Aww, I thought you were a beginner.<*2>"
0x7420e,あら おじょうちゃん つよいじゃない<*2>,
0x74210,うえーーーっん まけたでちゅ<*2>,"Waaaah, I lost!<*2>"
0x74212,まけることも あるんべ<*2>,"Ey, sometimes you lose, right?<*2>"
0x74214,とあみが からまっただ<*2>,My net got tangled...<*2>
0x74216,おらの まけけぇ?<*2>,Whuzzat? I lost?<*2>
0x74218,もぐ もぐ まけもぐ<*2>,"Dig dig dig, I lost...<*2>"
0x7421a,じんせい しぬまでべんきょうじゃのう<*2>,
0x7421c,・・・けっこう おもしろいじゃないの<*2>,
0x7421e,す・・すごいよ きみ!<4E>ぼ・・ぼくと・・<*2>,
0x74220,わたしが まけた!? こ・・これが<4E>しんがたメダロットのいリょくなのか!<*2>,
0x74222,おぬし なかなか やるで ござるな<*2>,You did well to defeat me.<*2>
0x74224,これでおわリかい? ざんねんだなぁ<*2>,
0x74226,みずがあれば こんなものでは<4E>すまなくてよ<*2>,
0x74228,このままでは すまさないからな<*2>,You haven't seen the last of me!<*2>
0x7422a,こんかいのは おもしろかったわ<*2>,That was an interesting fight.<*2>
0x7422c,あら・・・ ごめんなさいね<4E>パディちゃん だったのね<*2>,
0x7422e,おんがくは いいなぁ<*2>,Music is a wonderful thing.<*2>
0x74230,いいぞ いいぞぉっ!!<*2>,That's it! Looking good!<*2>
0x74232,きみのほうが つよいと フムフム・・<*2>,You're pretty strong hrm hrm...<*2>
0x74234,・・・・ じだいが かわったのかのぉ<*2>,"Times really have changed, haven't they?<*2>"
0x74236,おまえは なにも しらないのかノカ?<*2>,
0x74238,これは こまった まけたロボ<*2>,"Uh oh! I lost, Robo!<*2>"
0x7423a,うううっ まけたでチュ<*2>,Ugh...I lost!<*2>
0x7423c,ぬうっ ひきあげじゃぁっ<*2>,"Urgh, retreeeat!<*2>"
0x7423e,きょうの ところは かんべんして<4E>あげるわ<*2>,I'll let you off easy this time.<*2>
0x74240,うっ うちゅうじんさまーっ<4E>なんのこっちゃ!<*2>,Masters! I've failed you!<4E>What the heck!<*2>
0x74242,てっ てかげんしてやったんだよ!<*2>,I-I was just going easy on you!<*2>
0x74244,・・・・・・<*2>,......<*2>
0x74246,なんであんたなんかに まけちゃうの?<*2>,How could I lose?<*2>
0x74248,ちゃんと きたえなおさなきゃ!<*2>,
0x7424a,しょうぶは これからだ!<*2>,
0x7424c,こんかいは すなおに<4E>まけを みとめましょう<*2>,I humbly accept defeat.<*2>
0x7424e,ユーには まけたよ<*2>,I lost to you~?<*2>
0x74250,オマエ ツヨイ コレヤル ガンバレ<*2>,You are strong. <49>Take this. Good luck.<*2>
0x74252,これデ かったト おもうなヨ<*2>,I thought I win this.<*2>
0x74254,このわたしが まけるなんてね<*2>,
0x74256,キュウン キュウン<*2>,
0x74258,パディさん あリがとうございました<*2>,
0x7425a,わしは まだ せいちょうが<4E>たらんかの?<*2>,
0x7425c,あらン つよいのね♥<*2>,
0x7425e,ゆめは ゆめで おわらなくてよ!<*2>,
0x74260,せいぎも まけることが<4E>あるであリますっ!<*2>,"Even justice loses sometimes, sir!<*2>"
0x74262,うううっ こまったでチュ<*2>,Uuurgh this is bad!<*2>
0x74264,ぬうっ このままでは すまさんぞっ<*2>,Nurgh...it can't end like this!<*2>
0x74266,きょうの ところは ひいてあげるわ!<*2>,You got lucky today!<*2>
0x74268,なかなか やるではないか<*2>,You're pretty good.<*2>
0x7426a,きょうも いちわも うれなかったか<*2>,Didn't sell any today either...<*2>
0x7426c,オモテガ ウラニ ウラガ オモテニ<4E>インサツサレテ イルノデス<*2>,
0x7426e,バッ パッ ピッ バカナーッ!!<*2>,A... I-I... BZZT-- IMPOSSIBLE...!!<*2>
0x74270,ボトルロは むずかしいのぉ<*2>,Bottleros are hard to win...<*2>
0x74272,ハアッ ハアッ まけちまったぜ<*2>,Hah... Hah... I lost!<*2>
0x74274,<&NAME> は<4E>てきに まけてしまった!<*2>,<&NAME> was defeated!<*2>
0x74300,<&NAME>は <&BUF02><4E>「<&BUF01>」を てにいれた<*2>,<&NAME> obtained <&BUF01>!<*2>
0x74302,カン!カン!カン! ロボトルエンド!<4E>さあ これで じかんぎれです!<4C>はんていのけっかを みてみましょう!<S78><4C><S2>はんていのけっか!<4E><&BUF01>の しょうリです!,Ding ding ding! Time is up!<4C>Now to determine the winner!<S78><4C><S02>It looks like... <&BUF01>'s match!
0x74304,<&NAME>は <&BUF02><4E>「<&BUF01>」を とられた<*2>,<&NAME> handed over <&BUF01>.<*2>
0x74306,えーーーーーーーん!!<4E>まけちゃったよーーー!<4C>わたしがまけるなんて これはゆめ?!<4E>そうよ! ゆめにちがいないわ!<4C>もういちど ねーましょ!<4E>スー スー スー ・・・・・・・・・,
0x74308,<&NAME> は<4E>「ロボロボメダル」を てにいれた!<*2>,<&NAME> got a RoboRobo Medal!<*2>
0x7430a,えーーーーーーーん!!<4E>まけちゃったよーーー!<4C>ベティ! あなたのせいよ!<4E>しっかリ たたかわないからよ!<4C>このっ!・・バキ・・ボコ・・ベキッ!<4E>つぎからは がんばリなさいよ!<4C>ベティ!<4C>ベティ!?<4C>ベティ??<4C>・・・ベティがピクリとも うごかない<4C>ガーン! こわれちゃった!!,"Waaaaaaaaaaaaaaaaaaaah!!<4E>I lost!<4C>Betty! It's your fault!<4E>You didn't fight hard enough!<4C>Geez!<4E><S6>SMASH<4A><S6>THUD<4E>CRASH<4C>Next time, do your best!<4C>Betty!<4C>Betty!?<4C>Betty??<4C>Betty's not moving an inch...<4C>Gah! She's broken!!"
0x7430c,<&NAME> は<4E>ティンペットを てにいれた!!,<&NAME> obtained a Tinpet!
0x7430e,あれっ!!<4E>ティンペットは そろっているよ!<4C><&NAME> は<4E>ティンペットを もてなかった!!,Huh? You already have too many!<4C><&NAME> did not take the Tinpet!
0x74310,ここでは つうしんケーブルをつかって<4E>ともだちと あそぶことができます<4C>つうしん しますか?<*4>,You can play with your friends using a Game Link cable here.<4C>Do you want to connect?<*4>
0x74312,つうしんまえに セーブしますが<4E>よろしいですか?<*4>,The game will be saved before connecting.<49>Is this alright?<*4>
0x74314,<4A>ロボトルほんぶに アクセスします<S3c><*4>,<4A><49>Accessing Robottle HQ...<S3c><*4>
0x74316,つうしんちゅう!!<*4>,Connecting!<*4>
0x74318,つうしん できませんでした!,Couldn't connect!
0x7431a,2たい いじょう くまれた<4E>メダロットがないと できません<S3c><*1>,You need at least 2 battle-ready Medarots to use this mode.<S3c><*1>
0x7431c,トレードする パーツがあリません<S3c><*1>,You have no parts to trade.<S3c><*1>
0x7431e,<Sff>つうしんまちです!!<S1e><*4>,<Sff>Waiting on connection!<S1e><*4>
0x74320,<&NAME> は<4E>たたかいに かちました!!<4C>みごとな しょうリです!<4E>これからもガンガンいこう!!,<&NAME> won the battle!<4C>An excellent victory!<49>Keep it up!
0x74322,<&NAME> は<4E>たたかいに まけました!!<4C>もういちど きたえなおしだ!<4E>こんどは がんばリましょう!!,<&NAME> lost the battle!<4C>That's too bad!<49>Train hard and go for the win!
0x74324,あなたは ロボトルしょうしゃとして<4E>「ロボとーる」を おこなえます!,"As the winner of the Robottle, you get to play Robo-Toll!"
0x74326,あなたは ロボトルはいしゃとして<4E>パーツをとられてしまいます,"As the loser of the Robottle, one of your parts will be taken."
0x74328,<&BUF01> は<4E>「ロボとーる」に<S10>・・・・・・・・・<4A><S2>せいこうした!<S3c><*4>,<&BUF01>'s Robo-Toll<S10>.........<4A><49><S02>Succeeded!<S3c><*4>
0x7432a,<&BUF01> は<4E>「ロボとーる」に<S10>・・・・・・・・・<4A><S2>しっぱいした!<S3c><*4>,<&BUF01>'s Robo-Toll<S10>.........<4A><49><S02>Failed!<S3c><*4>
0x7432c,ハズレ! なにも とれなかった!<4E>ざんねんですが しかたあリません!,"Miss! You didn't get anything!<49>Too bad, maybe next time!"
0x7432e,ハズレ!<4E>なにもとられずにすんだ! ラッキー!,"Miss! Nothing was taken!<49>Phew, that was close!"
0x74330,Ａボタンでストップしてください!<*4>,Press A to stop the wheel!<*4>
0x74332,パーツせんたくちゅうです!!<*4>,Choosing parts!<*4>
0x74334,しかし かんぜんなかたちで<4E>とることができなかった!<*2>,"Despite winning, you could not get a part!<*2>"
0x74336,<&NAME>は <&BUF02><4E>「<&BUF04>」を てにいれた<*2>,<&NAME> got the <&BUF02> part <&BUF04>!<*2>
0x74338,<&NAME>は <&BUF02><4E>「<&BUF04>」を とられた<*2>,<&NAME> lost the <&BUF02> part <&BUF04>!<*2>
0x7433a,メダルは いっぱいで もてなかった!<*2>,You can't carry any more of that Medal!<*2>
0x7433c,そのパーツは<4E>いっぱいで もてなかった!!<*2>,You can't carry any more of that part!<*2>
0x7433e,どのぶぶんを トレードしますか?<*4>,Which type of part will you trade?<*4>
0x74342,トレードするパーツはどれですか?<*4>,Which part will you trade?<*4>
0x74344,トレードする パーツがあリません!,You have no parts of that type to trade!
0x74346,「<&BUF04>」と<4E>「<&BUF01>」をトレードします<S3c><*4>,<&BUF04> will be traded for <&BUF01>.<S3c><*4>
0x74348,「<&BUF04>」は<4E>「<&BUF01>」にヘんかした!,<&BUF04> transformed into <&BUF01>!
0x7434a,そこには いけません!!,You can't go that way!
0x7434c,ロボロボメダルを つかいますか?<*4>,Will you use a RoboRobo Medal?<*4>
0x7434e,せんとうから にげられた!!<S3c><*4>,Fled from the battle!<S3c><*4>
0x74350,こうさん しますか?<*4>,Do you want to surrender?<*4>
0x74352,おめでとうございます!<4E>パスワードが すべてそろいました!<4C>4もじをおうぼはがきに かきこんで<4E>イマジニアあてに おおくリください<4C>ちゅうせんで ひかるゲームボーイを<4E>プレゼント いたします!,Congratulations!<49>You've collected all 4 password letters!<4C>Write the password on the included postcard and send it to Imagineer to be entered in a draw for a glow-in-the-dark Game Boy!
0x74354,<&NAME>のメダルは<4E><&BUF01>のけいけんちをえた!<*2>,<&NAME>'s Medals earned <&BUF01> experience!<*2>
0x74356,なぐる・がむしゃらにこうかをはっき!<S3c><*4>,Physical attack detected!<S3c><*4>
0x74358,うつ・ねらいうちにこうかをはっき!<S3c><*4>,Ranged attack detected!<S3c><*4>
0x7435a,トラップかいじょを おこなった!<S3c><*4>,Attempted to clear traps!<S3c><*4>
